Index,Name,Latitude,Longitude,Address
317,Commonwealth D Block,5.650849599999999,-0.1921089,"Commonwealth Hall, Accra"
318,Commonwealth C Block,5.650408899999999,-0.1920944,"Commonwealth Hall, Accra"
319,Best Atlantic Guesthouse Ltd,5.655462,-0.180962,"Ga South, Accra"
320,GHANA HOSTELS LTD FLATS PENTAGON,5.656601800000001,-0.1814073,Accra
321,African Union (Pentagon) Hall  Block B,5.658963200000001,-0.182091,"MR59+H5M, Annie Jiagge Road, Accra"
322,Jubilee Hall,5.6403435,-0.1862323,"Jubilee Drive, Accra"
323,Bani Hostel,5.663091000000001,-0.1797826,"Legon East Road, Accra"
324,Dr. Hilla Limann Hall,5.637331700000002,-0.1848835,"Jubilee Drive, Accra"
325,Jean Nelson Aka Hall,5.6352521,-0.1884651,"JRP6+8H6, Accra"
326,UPSA Hostel,5.6589281,-0.1714249,"MR5H+HCV, Accra"
327,Akuafo Hall Annex D,5.6472018,-0.1858704,"JRW7+VMJ, Agyei Barimah Crescent, Accra"
328,SAM'S COTTAGE HOTEL,5.65064,-0.18705,"P O BOX LG 446, Accra"
329,Legon Hills Hotel,5.650639399999999,-0.1870506,"MR27+754, Accra"
330,THE RESIDENCE HOTEL,5.650639399999999,-0.1870506,"1st Haick Street, GIMPA Bypass"
331,Barita's Restaurant,5.651301,-0.1922652,"Legon Campus, Commonwealth Hall, Accra"
332,Barita's Restaurant,5.651301,-0.1922652,"Legon Campus, Commonwealth Hall, Accra"
333,KFC Haatso Shell,5.6678343,-0.1884243,"Shell Filling Station, Cnr Haatso-Atomic, & Agbogba - Ashongman Road, Accra"
334,Mr Wu’s Chinese Fast Food - Legon Campus (Bani),5.6631704,-0.1795463,"Bani Hostel, Accra"
335,Norish-Norish,5.668521500000001,-0.1934202,"Royal Palm Street, Accra"
336,Mensah Sarbah Hall Mosque,5.645491900000001,-0.1864135,"JRW7+5CW, Mensah Sarbah Crescent, Accra"
337,Akuafo Hall Mosque,5.6496238,-0.1859897,"JRX7+RJR, Agyei Barimah Crescent, Accra"
338,Legon Hall Mosque,5.650074899999999,-0.1874462,"MR27+22F, Accra"
339,UN Maulah Mosque,5.6536276,-0.1819659,"MR39+F63, Accra"
340,Legon Central Mosque,5.6413708,-0.1846583,"Legon Mosque, Accra"
341,Okponglo Central Mosque,5.6404622,-0.1761979,"JRRF+5GM, Djibouti Road, Accra"
342,Al-furqan charitable organisation masjeed,5.6412459,-0.1752589,"JRRF+FVX, La-Bawaleshi Road, Accra"
343,Museum Of Archaeology,5.6521781,-0.1813205,"MR29+VFF, Accra"
344,Fortunate Gardens,5.650639399999999,-0.1870506,"MR27+754, Accra"
345,Bacchus Garden,5.650599400000001,-0.1905716,"Legon Boundary, Accra"
346,Mensah Sarbah Park,5.644652799999998,-0.1883782,"JRV6+VJ9, Accra"
347,Leaflove,5.6544849,-0.1750878,"O.T. 92, Hospital Road, Accra"
348,Legon Botanical Gardens Playground,5.666674599999999,-0.1875545,Accra
349,Lizalex,5.6366041,-0.1866439,"JRP7+J8X, Accra"
350,Legon Botanical Gardens Ghana..,5.6669698,-0.1877506,"Agbogba Junction, Off the, Haatso-Atomic Road, Accra"
351,Living Green Herbs and Seedlings,5.667249799999999,-0.1841823,"comm 25, branches:Atomic Junction Roundabout - legon madina & dawhenya Methodist junction, Tema"
352,Heath Botanica,5.652160900000001,-0.1700158,"MR2H+VX9, Hospital Road, Accra"
353,Mensah Sarbah Annexes Car Park,5.645730799999999,-0.1853085,"JRW7+7VW, Noguchie Link, Accra"
354,Jubilee Car Park,5.6497803,-0.1915194,"JRX5+W99, Accra"
355,Administration Car Park,5.662468899999999,-0.1762589,"MR6F+XFQ, Accra"
356,UGCS Parking Lot,5.6519884,-0.1881541,"MR26+QPX, W.E.B. Dubois Road, Accra"
357,Akuafo Car Parking Lot,5.649421799999999,-0.185244,"JRX7+QW6, Noguchie Link, Accra"
358,Bush Canteen Car Park  Inside UG Campus,5.648864400000002,-0.1809512,"JRX9+GJV, Accra"
359,University of Ghana Car Park,5.650562,-0.1962244,"MR23+6GC, Accra"
